tag,JD,launch_date,launch_year,type,variant,mission,agency,state_code,category,agency_type
1997-026,2450593.21,5/24/97,1997,Proton-K/DM-2M,DM4,Telstar 5,ILSK,RU,O,private
1997-046,2450688.52,8/28/97,1997,Proton-K/DM-2M,DM3,PAS 5,ILSK,RU,O,private
1997-076,2450785.47,12/2/97,1997,Proton-K/DM-2M,DM3,Astra 1G,ILSK,RU,O,private
1997-086,2450807.47,12/24/97,1997,Proton-K/DM-2M,DM3,Asiasat 3,ILSK,RU,O,private
1998-028,2450941.49,5/7/98,1998,Proton-K/DM-2M,DM3,Echostar 4,ILSK,RU,O,private
1998-050,2451055.52,8/30/98,1998,Proton-K/DM-2M,DM3,Astra 2A,ILSK,RU,O,private
1998-065,2451121.72,11/4/98,1998,Proton-K/DM-2M,DM3,PAS 8,ILSK,RU,O,private
1999-005,2451224.72,2/15/99,1999,Proton-K/DM-2M,DM3,Telstar 6,ILSK,RU,O,private
1999-013,2451258.51,3/21/99,1999,Proton-K/DM-2M,DM3,Asiasat 3S,ILSK,RU,O,private
1999-027,2451319.44,5/20/99,1999,Proton-K/DM-2M,DM3,Telesat DTH-1,ILSK,RU,O,private
1999-033,2451347.58,6/18/99,1999,Proton-K/DM-2M,DM3,Astra 1H,ILSK,RU,O,private
1999-053,2451448.44,9/26/99,1999,Proton-K/DM-2M,DM3,LMI 1,ILSK,RU,O,private
2000-011,2451586.88,2/12/00,2000,Proton-K/DM-2M,DM3,Garuda 1,ILSK,RU,O,private
2000-035,2451726.42,6/30/00,2000,Proton-K/DM-2M,DM3,Sirius CD Radio 1,ILSK,RU,O,private
2000-051,2451792.91,9/5/00,2000,Proton-K/DM-2M,DM3,Sirius CD Radio 2,ILSK,RU,O,private
2000-059,2451819.42,10/1/00,2000,Proton-K/DM-2M,DM3,GE-1A,ILSK,RU,O,private
2000-067,2451839.42,10/21/00,2000,Proton-K/DM-2M,DM3,GE 6,ILSK,RU,O,private
2000-077,2451879.33,11/30/00,2000,Proton-K/DM-2M,DM3,Sirius CD Radio 3,ILSK,RU,O,private
2001-019,2452044.55,5/15/01,2001,Proton-K/DM-2M,DM3,PAS 10,ILSK,RU,O,private
2001-025,2452076.58,6/16/01,2001,Proton-K/DM-2M,DM3,Astra 2C,ILSK,RU,O,private
2002-016,2452364.23,3/30/02,2002,Proton-K/DM-2M,DM3,INTELSAT 903,ILSK,RU,O,private
2002-023,2452402.21,5/7/02,2002,Proton-K/DM-2M,DM3,DirecTV-5,ILSK,RU,O,private
2002-039,2452508.72,8/22/02,2002,Proton-K/DM-2M,DM3,Echostar 8,ILSK,RU,O,private
2002-053,2452604.46,11/25/02,2002,Proton-K/DM-2M,DM3,Astra 1K,ILSK,RU,O,private
2002-062,2452638.47,12/29/02,2002,Proton-M/Briz-M,,Nimiq 2,ILSK,RU,O,private
2003-024,2452797.43,6/6/03,2003,Proton-K/Briz-M,,Americom 9,ILSK,RU,O,private
2004-008,2453080.46,3/15/04,2004,Proton-M/Briz-M,,Eutelsat W3A,ILSK,RU,O,private
2004-022,2453173.44,6/16/04,2004,Proton-M/Briz-M,,INTELSAT 10-02,ILSK,RU,O,private
2004-031,2453222.44,8/4/04,2004,Proton-M/Briz-M,,Amazonas,ILSK,RU,O,private
2004-041,2453293.39,10/14/04,2004,Proton-M/Briz-M,,AMC-15,ILSK,RU,O,private
2004-043,2453308.42,10/29/04,2004,Proton-K/DM-2M,DM-2M,Ekspress AM-1,ILSK,RU,O,private
2005-003,2453404.6,2/3/05,2005,Proton-M/Briz-M,,Americom 12,ILSK,RU,O,private
2005-019,2453513.25,5/22/05,2005,Proton-M/Briz-M,,DirecTV-8,ILSK,RU,O,private
2005-052,2453733.6,12/29/05,2005,Proton-M/Briz-M,,Americom 23,ILSK,RU,O,private
2006-006,2453795.34,2/28/06,2006,Proton-M/Briz-M,,Arabsat 4A,ILSK,RU,O,private
2006-032,2453952.41,8/4/06,2006,Proton-M/Briz-M,,Hot Bird 8,ILSK,RU,O,private
2006-051,2454048.33,11/8/06,2006,Proton-M/Briz-M,,Arabsat 4B,ILSK,RU,O,private
2006-056,2454081.48,12/11/06,2006,Proton-M/Briz-M,,Measat,ILSK,RU,O,private
2007-009,2454200.45,4/9/07,2007,Proton-M/Briz-M,,Anik F3,ILSK,RU,O,private
2007-032,2454288.55,7/7/07,2007,Proton-M/Briz-M,,DirecTV 10,ILSK,RU,O,private
2007-057,2454422.44,11/17/07,2007,Proton-M/Briz-M,,Sirius 4,ILSK,RU,O,private
2008-006,2454507.98,2/11/08,2008,Proton-M/Briz-M,,Thor 5,ILSK,RU,O,private
2008-011,2454540.47,3/14/08,2008,Proton-M/Briz-M,,Americom 14,ILSK,RU,O,private
2008-039,2454697.45,8/18/08,2008,Proton-M/Briz-M,,INMARSAT 4 F3,ILSK,RU,O,private
2008-044,2454729.41,9/19/08,2008,Proton-M/Briz-M,,Nimiq 4,ILSK,RU,O,private
2008-057,2454776.36,11/5/08,2008,Proton-M/Briz-M,,Astra 1M,ILSK,RU,O,private
2008-063,2454811.07,12/10/08,2008,Proton-M/Briz-M,,Ciel 2,ILSK,RU,O,private
2009-016,2454925.18,4/3/09,2009,Proton-M/Briz-M,,Eutelsat W2A,ILSK,RU,O,private
2009-027,2454967.54,5/16/09,2009,Proton-M/Briz-M,,Indostar II/Protostar II,ILSK,RU,O,private
2009-034,2455013.3,6/30/09,2009,Proton-M/Briz-M,,Sirius CD Radio 5,ILSK,RU,O,private
2009-042,2455055.32,8/11/09,2009,Proton-M/Briz-M,,Asiasat 5,ILSK,RU,O,private
2009-050,2455092.31,9/17/09,2009,Proton-M/Briz-M,,Nimiq 5,ILSK,RU,O,private
2009-065,2455160.1,11/24/09,2009,Proton-M/Briz-M,,Eutelsat W7,ILSK,RU,O,private
2009-075,2455194.52,12/29/09,2009,Proton-M/Briz-M,,DirecTV-12,ILSK,RU,O,private
2010-006,2455239.53,2/12/10,2010,Proton-M/Briz-M,,IS-16,ILSK,RU,O,private
2010-010,2455276.27,3/20/10,2010,Proton-M/Briz-M,,Echostar 14,ILSK,RU,O,private
2010-016,2455310.97,4/24/10,2010,Proton-M/Briz-M,,SES-1,ILSK,RU,O,private
2010-025,2455351.42,6/3/10,2010,Proton-M/Briz-M,,Arabsat 5B,ILSK,RU,O,private
2010-034,2455388.28,7/10/10,2010,Proton-M/Briz-M,,,ILSK,RU,O,private
2010-053,2455484.29,10/14/10,2010,Proton-M/Briz-M,,,ILSK,RU,O,private
2010-061,2455515.23,11/14/10,2010,Proton-M/Briz-M,,MSV 1,ILSK,RU,O,private
2010-069,2455557.41,12/26/10,2010,Proton-M/Briz-M,,KA-Sat,ILSK,RU,O,private
2011-021,2455702.3,5/20/11,2011,Proton-M/Briz-M,,Telstar 14R,ILSK,RU,O,private
2011-035,2455758.47,7/15/11,2011,Proton-M/Briz-M,,SES-3,ILSK,RU,O,private
2011-054,2455834.27,9/29/11,2011,Proton-M/Briz-M,,QuetzSat-1,ILSK,RU,O,private
2011-059,2455854.28,10/19/11,2011,Proton-M/Briz-M,,ViaSat-1,ILSK,RU,O,private
2011-069,2455891.3,11/25/11,2011,Proton-M/Briz-M,,Asiasat 7,ILSK,RU,O,private
2011-074,2455906.97,12/11/11,2011,Proton-M/Briz-M,,Amos 5,ILSK,RU,O,private
2012-007,2455972.32,2/14/12,2012,Proton-M/Briz-M,,SES-4,ILSK,RU,O,private
2012-011,2456012.01,3/25/12,2012,Proton-M/Briz-M,,Intelsat IS-22,ILSK,RU,O,private
2012-016,2456041.43,4/23/12,2012,Proton-M/Briz-M,,Yahsat 1B,ILSK,RU,O,private
2012-026,2456065.3,5/17/12,2012,Proton-M/Briz-M,,Nimiq 6,ILSK,RU,O,private
2012-036,2456118.28,7/9/12,2012,Proton-M/Briz-M,,Astra 4B ?,ILSK,RU,O,private
2012-057,2456214.86,10/14/12,2012,Proton-M/Briz-M,,IS-23,ILSK,RU,O,private
2012-065,2456252.27,11/20/12,2012,Proton-M/Briz-M,,Echostar 16,ILSK,RU,O,private
2012-070,2456270.05,12/8/12,2012,Proton-M/Briz-M,,Yamal 402,ILSK,RU,O,private
2013-012,2456378.3,3/26/13,2013,Proton-M/Briz-M,,Satmex 8,ILSK,RU,O,private
2013-014,2456398.27,4/15/13,2013,Proton-M/Briz-M,,Anik G1,ILSK,RU,O,private
2013-022,2456427.17,5/14/13,2013,Proton-M/Briz-M,,Eutelsat 3D,ILSK,RU,O,private
2013-026,2456446.89,6/3/13,2013,Proton-M/Briz-M,,SES-6,ILSK,RU,O,private
2013-056,2456565.4,9/29/13,2013,Proton-M/Briz-M,,Astra 2E,ILSK,RU,O,private
2013-058,2456591.26,10/25/13,2013,Proton-M/Briz-M,,Sirius FM6,ILSK,RU,O,private
2013-073,2456635.01,12/8/13,2013,Proton-M/Briz-M,,Inmarsat 5F1,ILSK,RU,O,private
2014-007,2456703.38,2/14/14,2014,Proton-M/Briz-M,,Turksat 4A,ILSK,RU,O,private
2014-082,2457006.51,12/15/14,2014,Proton-M/Briz-M,,Yamal-401,ILSK,RU,O,private
2014-089,2457019.4,12/27/14,2014,Proton-M/Briz-M,,Astra 2G,ILSK,RU,O,private
2015-005,2457055.02,2/1/15,2015,Proton-M/Briz-M,,Inmarsat 5F2,ILSK,RU,O,private
2015-042,2457262.99,8/28/15,2015,Proton-M/Briz-M,,Inmarsat 5F3,ILSK,RU,O,private
2015-060,2457312.36,10/16/15,2015,Proton-M/Briz-M,,Turksat 4B,ILSK,RU,O,private
2016-005,2457417.43,1/29/16,2016,Proton-M/Briz-M,,Eutelsat 9B,ILSK,RU,O,private
2016-035,2457548.8,6/9/16,2016,Proton-M/Briz-M,,Intelsat IS-31/DLA-2,ILSK,RU,O,private
2017-032,2457912.66,6/8/17,2017,Proton-M/Briz-M,,Echostar 21,ILSK,RU,O,private
2017-053,2458008.31,9/11/17,2017,Proton-M/Briz-M,,Amazonas 5,ILSK,RU,O,private
2017-057,2458025.29,9/28/17,2017,Proton-M/Briz-M,,Asiasat 9,ILSK,RU,O,private
2007-F03,2454349.45,9/5/07,2007,Proton-M/Briz-M,,JCSAT 11,ILSK,RU,F,private
2015-F01,2457158.74,5/16/15,2015,Proton-M/Briz-M,,Mexsat-1,ILSK,RU,F,private
2000-022,2451667.8,5/3/00,2000,Atlas IIA,,GOES L,ILSL,US,O,private
2000-028,2451689.47,5/24/00,2000,Atlas 3A,,Eutelsat W4,ILSL,US,O,private
2000-034,2451726.04,6/30/00,2000,Atlas IIA,,TDRS H,ILSL,US,O,private
2000-038,2451739.72,7/14/00,2000,Atlas IIAS,,Echostar VI,ILSL,US,O,private
2000-065,2451837.53,10/20/00,2000,Atlas IIA,,DSCS III B-11,ILSL,US,O,private
2000-080,2451884.62,12/6/00,2000,Atlas IIAS,,QUASAR 13?,ILSL,US,O,private
2001-026,2452079.7,6/19/01,2001,Atlas IIAS,,ICO 2,ILSL,US,O,private
2001-031,2452113.81,7/23/01,2001,Atlas IIA,,GOES M,ILSL,US,O,private
2001-040,2452161.14,9/8/01,2001,Atlas IIAS,,INTRUDER 5?,ILSL,US,O,private
2001-046,2452193.61,10/11/01,2001,Atlas IIAS,,QUASAR 14?,ILSL,US,O,private
2002-006,2452327.03,2/21/02,2002,Atlas 3B,DEC,Echostar 7,ILSL,US,O,private
2002-011,2452342.46,3/8/02,2002,Atlas IIA,,TDRS I,ILSL,US,O,private
2002-038,2452508.42,8/21/02,2002,Atlas V 401,,Eutelsat HB6,ILSL,US,O,private
2002-044,2452536.42,9/18/02,2002,Atlas IIAS,,Hispasat 1D,ILSL,US,O,private
2002-055,2452613.61,12/5/02,2002,Atlas IIA,,TDRS J,ILSL,US,O,private
2003-014,2452741.53,4/12/03,2003,Atlas 3B,SEC,Asiasat 4,ILSL,US,O,private
2003-020,2452773.42,5/13/03,2003,Atlas V 401,,Hellas Sat 2,ILSL,US,O,private
2003-033,2452838.49,7/17/03,2003,Atlas V 521,,Rainbow 1,ILSL,US,O,private
2003-054,2452975.92,12/2/03,2003,Atlas IIAS,,INTRUDER 6?,ILSL,US,O,private
2003-057,2452991.6,12/18/03,2003,Atlas 3B,SEC,UHF F/O F11,ILSL,US,O,private
2004-003,2453041.49,2/5/04,2004,Atlas IIAS,,AMC-10,ILSL,US,O,private
2004-007,2453077.74,3/13/04,2004,Atlas 3A,,MBSAT,ILSL,US,O,private
2004-011,2453111.53,4/16/04,2004,Atlas IIAS,,Superbird 6,ILSL,US,O,private
2004-017,2453145.43,5/19/04,2004,Atlas IIAS,,Americom 11,ILSL,US,O,private
2004-034,2453249.47,8/31/04,2004,Atlas IIAS,,QUASAR 15?,ILSL,US,O,private
2004-048,2453357,12/17/04,2004,Atlas V 521,,AMC 16,ILSL,US,O,private
2005-004,2453404.82,2/3/05,2005,Atlas 3B,SEC,INTRUDER 7,ILSL,US,O,private
2005-009,2453441.4,3/11/05,2005,Atlas V 431,,INMARSAT 4 F1,ILSL,US,O,private
2005-029,2453594.99,8/12/05,2005,Atlas V 401,,MRO,ILSL,US,O,private
2006-001,2453755.29,1/19/06,2006,Atlas V 551,,New Horizons,ILSL,US,O,private
2006-012,2453846.35,4/20/06,2006,Atlas V 411,,Astra 1KR,ILSL,US,O,private
2009-004,2454865.27,2/2/09,2009,Safir,,,IR,IR,O,state
2011-025,2455727.89,6/15/11,2011,Safir,,,IR,IR,O,state
2012-005,2455960.5,2/3/12,2012,Safir,,Navid,IR,IR,O,state
2015-006,2457055.87,2/2/15,2015,Safir,,Fajr,IR,IR,O,state
2008-F02,2454695.31,8/16/08,2008,Safir,,,IR,IR,F,state
2012-F02,2456070.5,,2012,Safir,,Fajr,IR,IR,F,state
2012-F03,2456192.5,,2012,Safir,,Fajr,IR,IR,F,state
2017-F04,2457961.9,7/27/17,2017,Simorgh,,,IR,IR,F,state
1988-087,2447423.9,9/19/88,1988,Shaviyt,,'Ofeq-1,IL,IL,O,state
1990-027,2447985,4/3/90,1990,Shaviyt,,'Ofeq-2,IL,IL,O,state
1995-018,2449812.97,4/5/95,1995,Shaviyt 1,,'Ofeq-3,IL,IL,O,state
2002-025,2452423.14,5/28/02,2002,Shaviyt 1,,'Ofeq-5,IL,IL,O,state
2007-025,2454262.49,6/10/07,2007,Shaviyt 1,,'Ofeq-7,IL,IL,O,state
2010-031,2455370.29,6/22/10,2010,Shaviyt 1,,'Ofeq-9,IL,IL,O,state
2014-019,2456757.3,4/9/14,2014,Shaviyt 1,,'Ofeq-10,IL,IL,O,state
2016-056,2457645.11,9/13/16,2016,Shaviyt 1,,'Ofeq-11,IL,IL,O,state
1998-F01,2450836.04,1/22/98,1998,Shaviyt 1,,EROS A,IL,IL,F,state
2004-F01,2453254.95,9/6/04,2004,Shaviyt 1,,'Ofeq-6,IL,IL,F,state
1970-011,2440628.68,2/11/70,1970,Lambda 4S,,L-4S-5,J,J,O,state
1971-011,2440998.67,2/16/71,1971,Mu-4S,,MS-T1,J,J,O,state
1971-080,2441222.67,9/28/71,1971,Mu-4S,,MS-F2,J,J,O,state
1972-064,2441548.61,8/19/72,1972,Mu-4S,,REXS,J,J,O,state
1974-008,2442094.71,2/16/74,1974,Mu-3C,,MS-T2,J,J,O,state
1975-014,2442467.73,2/24/75,1975,Mu-3C,,SRATS,J,J,O,state
1977-012,2443193.72,2/19/77,1977,Mu-3H,,MS-T3,J,J,O,state
1978-014,2443543.79,2/4/78,1978,Mu-3H,,EXOS-A,J,J,O,state
1978-087,2443767.71,9/16/78,1978,Mu-3H,,EXOS-B,J,J,O,state
1979-014,2443925.71,2/21/79,1979,Mu-3C,,CORSA-b,J,J,O,state
1980-015,2444286.53,2/17/80,1980,Mu-3S,,MS-T4,J,J,O,state
1981-017,2444656.52,2/21/81,1981,Mu-3S,,ASTRO-A,J,J,O,state
1983-011,2445385.72,2/20/83,1983,Mu-3S,,ASTRO-B,J,J,O,state
1984-015,2445744.83,2/14/84,1984,Mu-3S,,EXOS-C,J,J,O,state
1985-001,2446073.31,1/7/85,1985,Mu-3S-II,,MS-T5,J,J,O,state
1985-073,2446296.48,8/18/85,1985,Mu-3S-II,,PLANET-A,J,J,O,state
1987-012,2446831.77,2/5/87,1987,Mu-3S-II,,ASTRO-C,J,J,O,state
1989-016,2447579.48,2/21/89,1989,Mu-3S-II,,EXOS-D,J,J,O,state
1990-007,2447915.99,1/24/90,1990,Mu-3S-II,,MUSES-A,J,J,O,state
1991-062,2448498.6,8/30/91,1991,Mu-3S-II,,SOLAR-A,J,J,O,state
1993-011,2449038.6,2/20/93,1993,Mu-3S-II,,ASTRO-D,J,J,O,state
1997-005,2450491.7,2/12/97,1997,M-V,,MUSES-B,J,J,O,state
1998-041,2450998.26,7/3/98,1998,M-V,,Planet B,J,J,O,state
2003-019,2452768.69,5/9/03,2003,M-V,1,MUSES C,J,J,O,state
2005-025,2453561.65,7/10/05,2005,M-V,1,ASTRO-E2,J,J,O,state
2006-005,2453788.39,2/21/06,2006,M-V,1,ASTRO-F,J,J,O,state
2006-041,2454001.4,9/22/06,2006,M-V,1,SOLAR-B,J,J,O,state
1966-F10,2439394.62,9/26/66,1966,Lambda 4S,,L-4S-1,J,J,F,state
1966-F13,2439479.6,12/20/66,1966,Lambda 4S,,L-4S-2,J,J,F,state
1967-F03,2439593.61,4/13/67,1967,Lambda 4S,,L-4S-3,J,J,F,state
1969-F13,2440486.59,9/22/69,1969,Lambda 4S,,L-4S-4,J,J,F,state
1970-F08,2440854.71,9/25/70,1970,Mu-4S,,MS-F1,J,J,F,state
1976-F01,2442812.75,2/4/76,1976,Mu-3C,,CORSA,J,J,F,state
1980-062,2444438.61,7/18/80,1980,SLV-3,,Rohini RS-1,IN,IN,O,state
1981-051,2444755.71,5/31/81,1981,SLV-3,,Rohini RS-D-1,IN,IN,O,state
1983-033,2445441.74,4/17/83,1983,SLV-3,D4,Rohini RS-D-2,IN,IN,O,state
1992-028,2448762.52,5/20/92,1992,ASLV,,SROSS-C,IN,IN,O,state
1994-027,2449476.5,5/4/94,1994,ASLV,,SROSS-C2,IN,IN,O,state
1994-068,2449640.71,10/15/94,1994,PSLV,,IRS-P2,IN,IN,O,state
1996-017,2450163.7,3/21/96,1996,PSLV,,IRS-P3,IN,IN,O,state
1997-057,2450720.7,9/29/97,1997,PSLV,C,IRS-1D,IN,IN,O,state
1999-029,2451324.77,5/26/99,1999,PSLV,C,KITSAT-3,IN,IN,O,state
2001-015,2452017.93,4/18/01,2001,GSLV Mk I,a,GSAT-1,IN,IN,O,state
2001-049,2452204.7,10/22/01,2001,PSLV,C,TES,IN,IN,O,state
2002-043,2452529.93,9/12/02,2002,PSLV,C,METSAT-1,IN,IN,O,state
2003-018,2452767.98,5/8/03,2003,GSLV Mk I,a,GSAT-2,IN,IN,O,state
2003-046,2452929.7,10/17/03,2003,PSLV,C,IRS-P6,IN,IN,O,state
2004-036,2453268.94,9/20/04,2004,GSLV Mk I,b,GSAT-3,IN,IN,O,state
2005-017,2453495.7,5/5/05,2005,PSLV,C,Cartosat-1,IN,IN,O,state
2007-001,2454110.66,1/10/07,2007,PSLV,C,LAPAN-TUBSAT,IN,IN,O,state
2007-013,2454213.92,4/23/07,2007,PSLV,CA,AGILE,IN,IN,O,state
2007-037,2454346.04,9/2/07,2007,GSLV Mk I,b,INSAT 4CR,IN,IN,O,state
2008-002,2454486.66,1/21/08,2008,PSLV,CA,TecSAR-1,IN,IN,O,state
2008-021,2454584.66,4/28/08,2008,PSLV,CA,Cartosat-2A,IN,IN,O,state
2008-052,2454761.54,10/22/08,2008,PSLV-XL,,Chandrayaan-1,IN,IN,O,state
2009-019,2454941.55,4/20/09,2009,PSLV,CA,TecSAR-2,IN,IN,O,state
2009-051,2455097.76,9/23/09,2009,PSLV,CA,IRS Oceansat-2,IN,IN,O,state
2010-035,2455389.66,7/12/10,2010,PSLV,CA,Cartosat-2B,IN,IN,O,state
2011-015,2455671.7,4/20/11,2011,PSLV,C,Resourcesat-2,IN,IN,O,state
2011-034,2455757.97,7/15/11,2011,PSLV-XL,,GSAT-12,IN,IN,O,state
2011-058,2455846.73,10/12/11,2011,PSLV,CA,Megha-Tropiques,IN,IN,O,state
2012-017,2456043.51,4/26/12,2012,PSLV-XL,,RISAT-1,IN,IN,O,state
2012-047,2456179.68,9/9/12,2012,PSLV,CA,SPOT 6,IN,IN,O,state
2013-009,2456349.02,2/25/13,2013,PSLV,CA,SARAL/Sapphire,IN,IN,O,state
2013-034,2456475.26,7/1/13,2013,PSLV-XL,,IRNSS-1A,IN,IN,O,state
2013-060,2456601.88,11/5/13,2013,PSLV-XL,,Mars Orbiter Spacecraft,IN,IN,O,state
2014-001,2456662.95,1/5/14,2014,GSLV Mk II,,GSAT-14,IN,IN,O,state
2014-017,2456751.99,4/4/14,2014,PSLV-XL,,IRNSS-1B,IN,IN,O,state
2014-034,2456838.68,6/30/14,2014,PSLV,CA,SPOT-7,IN,IN,O,state
2014-061,2456946.33,10/15/14,2014,PSLV-XL,,IRNSS-1C,IN,IN,O,state
2015-018,2457109.99,3/28/15,2015,PSLV-XL,,IRNSS-1D,IN,IN,O,state
2015-032,2457214.19,7/10/15,2015,PSLV-XL,,DMC3,IN,IN,O,state
2015-041,2457261.97,8/27/15,2015,GSLV Mk II,,GSAT-6,IN,IN,O,state
2015-052,2457293.69,9/28/15,2015,PSLV-XL,,ASTROSAT,IN,IN,O,state
2015-077,2457373.02,12/16/15,2015,PSLV,CA,TeLEOS-1,IN,IN,O,state
2016-003,2457407.67,1/20/16,2016,PSLV-XL,,IRNSS-1E,IN,IN,O,state
2016-015,2457457.94,3/10/16,2016,PSLV-XL,,IRNSS-1F,IN,IN,O,state
2016-027,2457506.81,4/28/16,2016,PSLV-XL,,IRNSS-1G,IN,IN,O,state
2016-040,2457561.66,6/22/16,2016,PSLV-XL,,Cartosat-2C,IN,IN,O,state
2016-054,2457639.97,9/8/16,2016,GSLV Mk II,,Insat-3DR,IN,IN,O,state
2016-059,2457657.65,9/26/16,2016,PSLV,C,Scatsat-1,IN,IN,O,state
2016-074,2457729.7,12/7/16,2016,PSLV-XL,,Resourcesat-2A,IN,IN,O,state
2017-008,2457799.67,2/15/17,2017,PSLV-XL,,Cartosat-2D,IN,IN,O,state
2017-024,2457878.98,5/5/17,2017,GSLV Mk II,,GSAT-9,IN,IN,O,state
2017-031,2457910,6/5/17,2017,GSLV Mk III,,GSAT-19,IN,IN,O,state
2017-036,2457927.67,6/23/17,2017,PSLV-XL,,Cartosat-2E,IN,IN,O,state
2017-051,2457997.06,8/31/17,2017,PSLV-XL,,IRNSS-1H,IN,IN,O,state
2018-004,2458130.67,1/12/18,2018,PSLV-XL,,Cartosat-2ER,IN,IN,O,state
2018-027,2458206.98,3/29/18,2018,GSLV Mk II,b,GSAT-6A,IN,IN,O,state
2018-035,2458220.44,4/11/18,2018,PSLV-XL,,IRNSS-1I,IN,IN,O,state
2018-071,2458378.19,9/16/18,2018,PSLV,CA,NovaSar-S/S1-4,IN,IN,O,state
1979-F03,2444095.6,8/10/79,1979,SLV-3,,Rohini RS-1,IN,IN,F,state
1987-F01,2446878.78,3/24/87,1987,ASLV,,SROSS-A,IN,IN,F,state
1988-F03,2447355.89,7/13/88,1988,ASLV,,SROSS-B,IN,IN,F,state
1993-F03,2449250.72,9/20/93,1993,PSLV,,IRS-1E,IN,IN,F,state
2006-F02,2453927.01,7/10/06,2006,GSLV Mk I,b,Insat 4C,IN,IN,F,state
2010-F01,2455301.96,4/15/10,2010,GSLV Mk II,,GSAT-4,IN,IN,F,state
2010-F04,2455555.94,12/25/10,2010,GSLV Mk I,c,GSAT-5 Prime,IN,IN,F,state
2009-048,2455085.21,9/10/09,2009,H-IIB,,HTV 1 Gijutso jissho-ki,J,J,O,state
2011-003,2455583.73,1/22/11,2011,H-IIB,,HTV 2,J,J,O,state
2012-038,2456129.59,7/21/12,2012,H-IIB,,HTV 3,J,J,O,state
2013-049,2456549.71,9/14/13,2013,Epsilon,,,J,J,O,state
2016-080,2457742.96,12/20/16,2016,Epsilon,,,J,J,O,state
2018-007,2458136.38,1/17/18,2018,Epsilon,,,J,J,O,state
2018-016,2458152.71,2/3/18,2018,SS-520,4,TRICOM-1R,J,J,O,state
2017-F01,2457768.48,1/14/17,2017,SS-520,4,TRICOM-1,J,J,F,state
2013-003,2456322.79,1/30/13,2013,Naro-1,,STSat-2C,KR,KR,O,state
2009-F03,2455068.83,8/25/09,2009,Naro-1,,STSat-2,KR,KR,F,state
2010-F02,2455357.83,6/10/10,2010,Naro-1,,STSat-2B,KR,KR,F,state
2012-072,2456273.53,12/12/12,2012,Unha-3,,KMS-3 Unit 2,KP,KP,O,state
1998-F04,2451056.63,8/31/98,1998,Paektusan 1,,,KP,KP,F,state
2009-F02,2454926.6,4/5/09,2009,Unha-2,,,KP,KP,F,state
2012-F01,2456030.44,4/12/12,2012,Unha-3,,,KP,KP,F,state
1999-047,2451428.19,9/6/99,1999,Proton-K/DM-2M,DM-2M,Yamal-100 No. 2,RU,RU,O,state
2000-013,2451615.67,3/12/00,2000,Proton-K/DM-2M,DM-2M,Ekspress A No. 2,RU,RU,O,state
2000-019,2451652.38,4/17/00,2000,Proton-K/DM-2M,DM-2M,SESAT,RU,RU,O,state
2000-029,2451701.62,6/6/00,2000,Proton-K/Briz-M,,Gorizont No. 45L,RU,RU,O,state
2000-031,2451719.52,6/24/00,2000,Proton-K/DM-2M,DM-2M,Ekspress-A No. 3,RU,RU,O,state
2000-036,2451730.49,7/4/00,2000,Proton-K/DM-2,,Geizer No. 22L,RU,RU,O,state
2000-037,2451737.71,7/12/00,2000,Proton-K,,77KSM No. 128-01,RU,RU,O,state
2000-049,2451785.34,8/28/00,2000,Proton-K/DM-2,,Globus No. 16L,RU,RU,O,state
2000-063,2451831.09,10/13/00,2000,Proton-K/DM-2,,Uragan No. 83L,RU,RU,O,state
2001-014,2452006.66,4/7/01,2001,Proton-M/Briz-M,,Ekran-M No. 18L,RU,RU,O,state
2001-037,2452146.36,8/24/01,2001,Proton-K/DM-2,,Oko-1 No. 7124,RU,RU,O,state
2001-045,2452189.2,10/6/01,2001,Proton-K/DM-2,,Globus No. 14L,RU,RU,O,state
2001-053,2452245.25,12/1/01,2001,Proton-K/DM-2,,Uragan-M No. 711,RU,RU,O,state
2002-029,2452435.55,6/10/02,2002,Proton-K/DM-2M,DM-2M,Ekspress-A No. 4,RU,RU,O,state
2002-037,2452481.13,7/25/02,2002,Proton-K/17S40,DM-5,Arkon 11F664 No. 2?,RU,RU,O,state
2002-048,2452564.7,10/17/02,2002,Proton-K/17S40,DM2,Integral,RU,RU,O,state
2002-060,2452633.82,12/25/02,2002,Proton-K/DM-2M,DM-2M,Uragan No. 791,RU,RU,O,state
2003-015,2452753.68,4/24/03,2003,Proton-K/DM-2,,Oko-1 No. 7126,RU,RU,O,state
2003-053,2452967.77,11/24/03,2003,Proton-K/DM-2M,DM-2M,Yamal-201/202,RU,RU,O,state
2003-056,2452984.24,12/10/03,2003,Proton-K/Briz-M,,Uragan 794,RU,RU,O,state
2003-060,2453002.46,12/28/03,2003,Proton-K/DM-2M,DM-2M,Sesat-2,RU,RU,O,state
2004-010,2453091.65,3/27/04,2004,Proton-K/DM-2,,Globus No. 17L,RU,RU,O,state
2004-015,2453122.36,4/26/04,2004,Proton-K/DM-2M,DM-2M,Ekspress AM-11,RU,RU,O,state
2004-053,2453366.08,12/26/04,2004,Proton-K/DM-2,,Uragan No. 796,RU,RU,O,state
2005-010,2453459.4,3/29/05,2005,Proton-K/DM-2M,DM-2M,Ekspress AM-2,RU,RU,O,state
2005-023,2453546.32,6/24/05,2005,Proton-K/DM-2,,Ekspress AM-3,RU,RU,O,state
